reportid,age,race,type,charge,year,sex
100606920,41,White,Misdemeanor,Possession,2010,Male
100100969,18,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100608009,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100608334,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100608536,24,Black,Misdemeanor,Possession,2010,Female
100608877,19,Black,Misdemeanor,Possession,2010,Male
100608879,37,Black,Misdemeanor,Possession,2010,Male
100610039,59,White,Misdemeanor,Possession,2010,Male
100101021,23,Black,Misdemeanor,Possession,2010,Male
100610531,18,White,Misdemeanor,Possession,2010,Male
100610842,31,White,Misdemeanor,Possession,2010,Male
100610932,38,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100611212,37,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100611305,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100612554,38,Black,Misdemeanor,Possession,2010,Male
90717005,51,Black,Misdemeanor,Possession,2011,Male
100101394,47,Black,Misdemeanor,Possession,2010,Male
100101642,19,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100619016,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100619018,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100619094,36,White,Misdemeanor,Possession,2010,Male
100619097,25,White,Misdemeanor,Possession,2010,Male
100619574,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100619577,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100620269,19,Black,Misdemeanor,Possession,2010,Male
100620271,23,Black,Misdemeanor,Possession,2010,Male
100104418,38,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100624497,21,Black,Misdemeanor,Possession,2010,Male
100624586,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100624794,30,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100625710,25,White,Misdemeanor,Possession,2010,Male
100700522,20,White,Misdemeanor,Possession,2010,Male
100700629,62,White,Misdemeanor,Possession,2010,Male
100700694,28,Black,Misdemeanor,Possession,2010,Male
100700763,19,White,Misdemeanor,Possession,2010,Male
100701259,20,Black,Misdemeanor,Possession,2010,Male
100704270,57,Black,Misdemeanor,Possession,2010,Male
100704326,36,White,Misdemeanor,Possession,2010,Male
100705381,20,Asian or Pacific Islander,Misdemeanor,Possession,2010,Female
100705808,35,Black,Misdemeanor,Possession,2010,Male
100705877,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100706519,53,White,Misdemeanor,Possession,2010,Male
100706580,19,Black,Misdemeanor,Possession,2010,Male
100706643,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100706645,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100707211,30,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100707734,37,Black,Misdemeanor,Possession,2010,Male
100707952,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100707954,20,Black,Misdemeanor,Possession,2010,Male
100707955,21,Black,Misdemeanor,Possession,2010,Male
100708795,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100708896,37,Black,Misdemeanor,Possession,2010,Male
100709115,28,Black,Misdemeanor,Possession,2011,Male
100709713,48,Black,Misdemeanor,Possession,2010,Female
100710251,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100710585,36,White,Misdemeanor,Possession,2010,Male
100710949,50,Black,Misdemeanor,Possession,2010,Male
100711183,49,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100711341,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100711483,44,Black,Misdemeanor,Possession,2010,Male
100711633,34,Black,Misdemeanor,Possession,2010,Male
100712181,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100712525,25,Black,Misdemeanor,Possession,2010,Female
100712823,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100713437,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100713991,18,Black,Misdemeanor,Possession,2010,Female
100713993,46,Black,Misdemeanor,Possession,2010,Male
100714773,39,Black,Misdemeanor,Possession,2010,Male
100715865,19,Black,Misdemeanor,Possession,2010,Male
100715866,19,Black,Misdemeanor,Possession,2010,Male
100716467,22,Black,Misdemeanor,Possession,2010,Male
100717054,30,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100717551,36,Black,Misdemeanor,Possession,2010,Female
100717779,33,Black,Misdemeanor,Possession,2011,Male
100719282,21,Black,Misdemeanor,Possession,2010,Male
100800758,37,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100801089,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100801176,55,White,Misdemeanor,Possession,2010,Male
100801582,18,White,Misdemeanor,Possession,2010,Male
100801614,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100804982,18,White,Misdemeanor,Possession,2010,Male
100804983,18,White,Misdemeanor,Possession,2010,Male
100805058,29,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100805232,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100805233,27,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100806091,26,Other,Misdemeanor,Possession,2010,Male
100806162,31,White,Misdemeanor,Possession,2010,Male
100806422,24,White,Misdemeanor,Possession,2010,Male
100806424,42,White,Misdemeanor,Possession,2010,Male
100806463,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100806517,25,Black,Misdemeanor,Possession,2010,Male
100806775,22,Other,Misdemeanor,Possession,2010,Male
100806777,19,White,Misdemeanor,Possession,2010,Male
100806833,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100806834,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100806835,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100807393,28,White,Misdemeanor,Possession,2010,Male
100808560,61,White,Misdemeanor,Possession,2010,Female
100808562,53,White,Misdemeanor,Possession,2010,Male
100808564,20,White,Misdemeanor,Possession,2010,Male
100808590,22,Other,Misdemeanor,Possession,2010,Male
100808591,19,Other,Misdemeanor,Possession,2010,Female
100808682,26,White,Misdemeanor,Possession,2010,Female
100808880,53,White,Misdemeanor,Possession,2010,Male
100808928,25,White,Misdemeanor,Possession,2010,Male
100104841,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100809229,58,White,Misdemeanor,Possession,2010,Male
100809232,53,White,Misdemeanor,Possession,2010,Male
100809236,30,White,Misdemeanor,Possession,2010,Female
100809237,31,White,Misdemeanor,Possession,2010,Female
100809240,40,White,Misdemeanor,Possession,2010,Male
100809742,21,Black,Misdemeanor,Possession,2010,Male
100809811,29,Black,Misdemeanor,Possession,2010,Female
100809872,37,Black,Misdemeanor,Possession,2010,Male
100809931,22,Black,Misdemeanor,Possession,2010,Male
100810059,56,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100810400,54,White,Misdemeanor,Possession,2010,Male
100810705,23,Black,Misdemeanor,Possession,2010,Female
100810712,18,White,Misdemeanor,Possession,2010,Male
100810741,48,White,Misdemeanor,Possession,2010,Male
100810772,19,White,Misdemeanor,Possession,2010,Male
100810773,22,Other,Misdemeanor,Possession,2010,Male
100810822,25,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100811700,25,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100811701,63,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100811880,42,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100811987,48,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100812241,39,White,Misdemeanor,Possession,2010,Male
100812244,58,Black,Misdemeanor,Possession,2010,Male
100812246,49,White,Misdemeanor,Possession,2010,Male
100812311,32,Black,Misdemeanor,Possession,2010,Male
100812312,27,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100812361,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100812362,27,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100812460,48,White,Misdemeanor,Possession,2010,Female
100812575,25,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100812576,19,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100813581,20,White,Misdemeanor,Possession,2011,Female
100813582,22,White,Misdemeanor,Possession,2011,Female
100814196,21,Black,Misdemeanor,Possession,2010,Male
100814325,37,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100814327,40,Black,Misdemeanor,Possession,2011,Male
100814768,29,Other,Misdemeanor,Possession,2010,Male
100814871,29,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100814910,21,Other,Misdemeanor,Possession,2011,Male
100815131,58,Black,Misdemeanor,Possession,2011,Male
100815132,50,White,Misdemeanor,Possession,2011,Male
100815133,53,Black,Misdemeanor,Possession,2011,Male
100815179,23,White,Misdemeanor,Possession,2011,Male
100815180,20,White,Misdemeanor,Possession,2011,Female
100815335,19,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100815634,46,White,Misdemeanor,Possession,2010,Male
100816117,19,White,Misdemeanor,Possession,2011,Male
100816118,20,Hispanic/Latino,Misdemeanor,Possession,2011,Male
100816120,39,White,Misdemeanor,Possession,2011,Male
100816122,37,White,Misdemeanor,Possession,2011,Male
100816123,37,White,Misdemeanor,Possession,2011,Male
100817372,19,White,Misdemeanor,Possession,2010,Female
100817374,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100817975,21,White,Misdemeanor,Possession,2011,Male
100818509,18,White,Misdemeanor,Possession,2010,Male
100818599,41,White,Misdemeanor,Possession,2010,Male
100819090,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100819665,19,Hispanic/Latino,Misdemeanor,Possession,2011,Male
90821780,52,White,Misdemeanor,Possession,2010,Male
100900638,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100900639,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100900645,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100900796,22,Black,Misdemeanor,Possession,2010,Male
100905865,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100906642,29,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100907205,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
90821781,57,White,Misdemeanor,Possession,2010,Male
100909343,33,White,Misdemeanor,Possession,2010,Male
100912744,52,Black,Misdemeanor,Possession,2010,Male
100913756,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100916288,37,White,Misdemeanor,Possession,2010,Male
100916557,30,White,Misdemeanor,Possession,2010,Male
100916742,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100917269,36,White,Misdemeanor,Possession,2010,Male
100917422,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100917678,23,White,Misdemeanor,Possession,2010,Male
100917958,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100918044,18,White,Misdemeanor,Possession,2010,Male
100918066,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100918245,19,Black,Misdemeanor,Possession,2010,Male
100918326,26,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100918384,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100918386,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100918447,44,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100918450,44,Hispanic/Latino,Misdemeanor,Possession,2010,Female
100918451,55,Black,Misdemeanor,Possession,2010,Male
100918595,25,White,Misdemeanor,Possession,2010,Female
100919176,36,Black,Misdemeanor,Possession,2010,Male
100919296,49,White,Misdemeanor,Possession,2010,Female
100919476,28,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100920273,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100920588,30,Other,Misdemeanor,Possession,2010,Male
100920946,45,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100921407,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100100515,26,Black,Misdemeanor,Possession,2010,Male
100922732,35,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100922904,22,Black,Misdemeanor,Possession,2010,Male
100923141,29,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100923782,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100923830,23,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100923831,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101001049,50,White,Misdemeanor,Possession,2010,Male
101004699,29,Other,Misdemeanor,Possession,2010,Male
101006398,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101007360,18,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101010801,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101010912,24,White,Misdemeanor,Possession,2010,Female
101012140,21,White,Misdemeanor,Possession,2010,Male
101012535,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100100545,29,White,Misdemeanor,Possession,2010,Male
101015353,27,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101015690,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101019565,26,Black,Misdemeanor,Possession,2010,Male
101100559,40,White,Misdemeanor,Possession,2010,Male
101100808,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101100821,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101101058,27,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101101285,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101101287,31,Black,Misdemeanor,Possession,2010,Male
101101289,55,Black,Misdemeanor,Possession,2010,Male
101101319,33,White,Misdemeanor,Possession,2010,Female
101101324,31,White,Misdemeanor,Possession,2010,Male
101101326,35,White,Misdemeanor,Possession,2010,Female
101101465,19,White,Misdemeanor,Possession,2010,Male
101101467,25,White,Misdemeanor,Possession,2010,Female
101104627,29,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101104629,44,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101104633,19,White,Misdemeanor,Possession,2010,Male
101105439,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101105540,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101105700,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101106108,19,White,Misdemeanor,Possession,2010,Male
101109133,32,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101109379,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100100698,24,Black,Misdemeanor,Possession,2010,Female
101110484,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101111465,23,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101112133,29,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101112369,42,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101112770,21,Asian or Pacific Islander,Misdemeanor,Possession,2010,Male
101114264,33,White,Misdemeanor,Possession,2010,Male
101114266,23,White,Misdemeanor,Possession,2010,Male
101114941,27,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101115749,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101116352,23,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101116354,24,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101116788,30,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101117134,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101118956,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101119703,28,White,Misdemeanor,Possession,2010,Male
101120263,44,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101120500,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101122052,20,White,Misdemeanor,Possession,2010,Male
101122704,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101200522,23,Black,Misdemeanor,Possession,2010,Male
101200911,27,Black,Misdemeanor,Possession,2010,Male
101208399,29,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100100870,43,Black,Misdemeanor,Possession,2010,Male
100100875,45,Black,Misdemeanor,Possession,2010,Male
101209937,21,Black,Misdemeanor,Possession,2010,Female
101210830,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101212147,19,Black,Misdemeanor,Possession,2010,Male
101212847,18,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101214904,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101215107,23,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101215364,19,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101217414,18,Black,Misdemeanor,Possession,2010,Male
101217885,39,Black,Misdemeanor,Possession,2010,Male
101217887,26,Black,Misdemeanor,Possession,2010,Male
101217991,27,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101219092,29,Black,Misdemeanor,Possession,2010,Male
101219491,40,Black,Misdemeanor,Possession,2010,Male
100100901,28,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101222202,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101224318,19,Black,Misdemeanor,Possession,2010,Male
100100904,27,Other,Misdemeanor,Possession,2010,Female
101225822,28,Black,Misdemeanor,Possession,2010,Male
101225979,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101226287,21,Black,Misdemeanor,Possession,2010,Male
101229558,27,Black,Misdemeanor,Possession,2010,Male
101231184,22,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101231185,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101231187,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101300761,29,Black,Misdemeanor,Possession,2010,Male
101304366,20,Black,Misdemeanor,Possession,2010,Male
101305041,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101305180,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101305817,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101307330,34,Black,Misdemeanor,Possession,2010,Male
101307620,37,Black,Misdemeanor,Possession,2010,Female
101307621,35,Black,Misdemeanor,Possession,2010,Female
101307919,20,Black,Misdemeanor,Possession,2010,Male
101308325,25,Black,Misdemeanor,Possession,2010,Male
101308361,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101308754,19,Black,Misdemeanor,Possession,2010,Male
101309228,22,Black,Misdemeanor,Possession,2010,Male
101309688,19,Black,Misdemeanor,Possession,2010,Male
100100915,70,Black,Misdemeanor,Possession,2010,Male
101310225,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101310451,20,Black,Misdemeanor,Possession,2010,Male
100100917,42,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100100918,55,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101311556,26,Black,Misdemeanor,Possession,2010,Male
101311615,25,Black,Misdemeanor,Possession,2010,Male
101312058,34,Black,Misdemeanor,Possession,2010,Male
101314283,20,Black,Misdemeanor,Possession,2010,Male
101316312,39,Black,Misdemeanor,Possession,2010,Male
101316843,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101317106,26,Black,Misdemeanor,Possession,2010,Male
100100970,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100100991,48,Black,Misdemeanor,Possession,2010,Male
101317376,30,Black,Misdemeanor,Possession,2010,Male
101317658,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101317767,27,Black,Misdemeanor,Possession,2010,Female
101317813,18,Black,Misdemeanor,Possession,2010,Male
101317958,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101317965,27,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101318872,43,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100101008,19,Black,Misdemeanor,Possession,2010,Male
101319228,20,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101319241,29,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100101026,20,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100101051,36,Black,Misdemeanor,Possession,2010,Male
100101078,30,Black,Misdemeanor,Possession,2010,Female
100101089,21,Black,Misdemeanor,Possession,2010,Male
101323366,22,White,Misdemeanor,Possession,2010,Male
101323367,20,White,Misdemeanor,Possession,2010,Male
101323882,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
100101100,24,Black,Misdemeanor,Possession,2010,Male
100101108,40,Black,Misdemeanor,Possession,2010,Male
100101211,19,Black,Misdemeanor,Possession,2010,Male
100101223,31,Black,Misdemeanor,Possession,2010,Male
101400515,20,Hispanic/Latino,Misdemeanor,Possession,2010,Female
101400619,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101400725,28,Black,Misdemeanor,Possession,2010,Male
101400829,23,White,Misdemeanor,Possession,2010,Male
101400831,19,Other,Misdemeanor,Possession,2010,Male
101400839,47,White,Misdemeanor,Possession,2010,Male
101400961,21,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101401004,28,Black,Misdemeanor,Possession,2010,Male
101401061,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101401081,20,White,Misdemeanor,Possession,2010,Male
101401083,33,White,Misdemeanor,Possession,2010,Male
101401246,27,White,Misdemeanor,Possession,2010,Male
101401315,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101401387,52,White,Misdemeanor,Possession,2010,Male
101401450,46,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101401276,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101401466,19,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101401561,43,Black,Misdemeanor,Possession,2010,Male
101401570,18,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101402773,29,Hispanic/Latino,Misdemeanor,Possession,2010,Male
101404274,23,Black,Misdemeanor,Possession,2010,Female
101404321,23,Black,Misdemeanor,Possession,2010,Male
101404398,35,Black,Misdemeanor,Possession,2010,Male
101404407,59,White,Misdemeanor,Possession,2010,Male
101404456,33,White,Misdemeanor,Possession,2010,Male
101404928,19,White,Misdemeanor,Possession,2010,Male
101405115,22,Other,Misdemeanor,Possession,2010,Male
101405144,22,Black,Misdemeanor,Possession,2010,Female
100101234,31,White,Misdemeanor,Possession,2010,Male
101405653,48,White,Misdemeanor,Possession,2010,Male
101405968,31,White,Misdemeanor,Possession,2010,Male
101406088,18,White,Misdemeanor,Possession,2010,Male
